date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-04-21,A.4111,Yannick Michel,15:00,18:00,Réunion équipe,10
2026-04-21,B.1366,Marion Fontaine,16:30,18:00,Demo produit,2
2026-04-22,C.4117,Charlotte Guerin,08:15,09:45,Onboarding,5
2026-04-22,B.1366,Mathilde Gautier,08:15,08:45,Revue d'architecture,2
2026-04-22,B.1366,Christophe Bonnet,09:00,09:30,Onboarding,4
2026-04-22,B.3232,Pierre Martin,09:00,12:00,Rétrospective,15
2026-04-22,C.2324,Émilie Muller,09:30,11:00,Rétrospective,9
2026-04-22,C.3210,Thomas Morel,09:30,11:00,Daily standup,6
2026-04-22,B.0179,Claire Petit,09:45,11:45,Rétrospective,11
2026-04-22,A.0293,Aurélie Durand,10:30,12:30,Brainstorming,6
2026-04-22,C.1221,Maxime Mathieu,11:30,13:00,Entretien candidat,6
2026-04-22,B.1366,Fabien Dupuis,11:30,12:30,Revue d'architecture,4
2026-04-22,C.2324,Sophie Michel,12:15,13:15,Comité de pilotage,2
2026-04-22,B.0179,Julie Bertrand,13:45,14:30,Réunion équipe,6
2026-04-22,A.2396,Quentin Lefebvre,13:45,14:15,Formation interne,5
2026-04-22,C.1221,Luc Lambert,14:00,14:45,Sprint planning,6
2026-04-22,C.3210,Pauline Mathieu,14:30,16:30,Daily standup,3
2026-04-22,C.1221,Mathilde Gautier,14:45,16:45,Daily standup,6
2026-04-22,C.4117,Quentin Gautier,15:30,16:00,Formation interne,3
2026-04-22,A.0293,Yannick Michel,15:30,16:15,Rétrospective,3
2026-04-23,C.4117,Cédric Durand,08:00,08:45,Daily standup,5
2026-04-23,A.2396,Antoine Robert,08:15,09:15,Daily standup,6
2026-04-23,A.0293,Manon Lefebvre,08:30,10:30,Comité de pilotage,10
2026-04-23,B.0179,Nathalie Richard,08:45,09:30,Comité de pilotage,6
2026-04-23,C.3210,Marion François,10:30,11:15,Présentation résultats,7
2026-04-23,C.4117,Pierre Garcia,11:15,11:45,Revue d'architecture,2
2026-04-23,B.1366,Florian Girard,11:15,12:00,Rétrospective,2
2026-04-23,A.2396,Marion Morel,11:15,12:00,Formation interne,2
2026-04-23,C.3210,Romain Moreau,11:45,12:45,Revue d'architecture,3
2026-04-23,B.1366,Marion Morel,12:00,12:45,Brainstorming,4
2026-04-23,C.1221,Justine Mathieu,12:45,13:30,Revue d'architecture,2
2026-04-23,C.4117,Julie Bertrand,12:45,14:15,Présentation résultats,3
2026-04-23,B.1366,Émilie Leroy,13:00,14:00,Revue d'architecture,3
2026-04-23,B.0179,Jean Laurent,13:45,14:15,Daily standup,10
2026-04-23,A.0293,Sarah Martin,14:15,15:00,Réunion équipe,9
2026-04-23,A.0293,Camille Rousseau,15:00,16:00,Sprint planning,7
2026-04-23,A.2396,Cédric Richard,15:00,16:30,Demo produit,5
2026-04-23,C.1221,Lucas Michel,15:15,16:45,Formation interne,3
2026-04-23,B.0179,Vincent Muller,15:30,16:15,Onboarding,5
2026-04-23,C.2324,Sandra Clement,16:15,16:45,Comité de pilotage,11
2026-04-23,B.0179,Benoit Morel,16:45,17:45,Présentation résultats,2
2026-04-24,C.4117,Élodie Roussel,08:00,08:30,Onboarding,4
2026-04-24,A.0293,Caroline Lambert,08:00,08:45,Réunion 1-1,9
2026-04-24,C.3210,Mathilde Girard,08:15,10:15,Revue d'architecture,6
2026-04-24,B.0179,Aurélie Durand,08:30,09:00,Comité de pilotage,4
2026-04-24,A.4111,Maxime Durand,09:00,10:00,Sprint planning,9
2026-04-24,C.2324,Pierre Petit,09:30,10:30,Entretien candidat,11
2026-04-24,B.0179,Florian Girard,09:45,10:45,Daily standup,2
2026-04-24,A.2396,Luc Bernard,09:45,11:15,Réunion équipe,4
2026-04-24,B.1366,Mathilde Gautier,10:15,11:00,Revue d'architecture,2
2026-04-24,C.3210,Mathieu Fontaine,10:45,11:30,Comité de pilotage,7
2026-04-24,B.3348,Laurent Richard,11:00,12:00,Présentation résultats,20
2026-04-24,B.1213,Élodie Gautier,12:00,14:00,Comité de pilotage,16
2026-04-24,C.1221,Sarah Clement,12:30,14:30,Sprint planning,3
2026-04-24,A.2396,Sarah Clement,12:45,13:45,Sprint planning,3
2026-04-24,B.0179,Élodie Robert,13:00,15:00,Onboarding,9
2026-04-24,C.4117,Nathalie Bonnet,14:00,14:30,Atelier client,3
2026-04-24,C.3210,Sylvie Fournier,14:00,14:30,Atelier client,4
2026-04-24,C.2324,Sébastien Blanc,15:00,15:45,Daily standup,2
2026-04-24,C.1221,Julie Guerin,15:15,16:15,Entretien candidat,2
2026-04-24,B.1366,Justine Mathieu,15:15,15:45,Réunion 1-1,2
2026-04-24,A.2396,Stéphanie Laurent,15:15,16:45,Onboarding,4
2026-04-24,C.3210,Mathieu Fournier,15:30,16:15,Atelier client,3
2026-04-24,A.0293,Sarah Martin,16:45,18:45,Formation interne,10
